Gene	Tx 0min Rep1	Tx 30min Rep1	Tx 60min Rep1	Tx 90min Rep1	Tx 0min Rep2	Tx 30min Rep2	Tx 60min Rep2	Tx 90min Rep2	Tx 0min Rep3	Tx 30min Rep3	Tx 60min Rep3	Tx 90min Rep3
YNL097C	13.7871	15.134	15.1898	14.3456	17.8689	19.5131	16.9012	18.9559	18.5864	16.326	14.922	18.4851
YNL097C-B	5.03512	5.80482	0	4.96402	8.10878	9.24553	4.21039	10.51	15.1392	29.0436	16.9288	14.3705
YNL097W-A	7.98371	9.20415	12.8383	7.87097	19.286	10.9948	23.366	16.6646	16.0032	43.1734	26.8423	22.7859
YNL098C	58.135	63.919	77.3266	97.9999	110.123	131.293	120.001	132.92	143.361	113.667	127.048	164.127
YNL099C	51.5099	53.9739	53.3562	48.8231	51.6127	53.3739	54.5219	55.5452	46.0366	50.5948	50.2288	48.5312
YNL100W	26.5744	29.8528	29.0658	33.0701	31.9377	35.3225	37.8099	36.1911	33.5621	34.7673	32.6525	34.4453
YNL101W	36.9072	36.5695	36.8297	35.471	36.6315	40.9523	35.2561	39.3307	33.4194	35.5568	37.0242	37.4944
YNL102W	23.3708	21.5204	22.9926	23.488	23.6822	23.1741	22.3071	22.9321	23.093	21.6406	22.6807	21.5658
YNL103W	33.3118	31.9753	33.1919	34.7266	35.8977	41.56	38.9268	42.917	33.7374	35.3122	37.5161	40.5998
YNL103W-A	0	0	0	0	0	0	0	0	0	0	0	0
YNL104C	342.515	314.978	337.057	339.923	381.556	421.588	411.821	430.066	361.043	359.469	365.254	415.194
YNL105W	0.43063	0.992917	0.692477	0.849097	0.57792	0.263575	0.120031	0.149811	0	0.206997	0.193045	0
YNL106C	11.1471	10.5334	11.3463	11.6221	11.2246	12.8412	11.9639	12.2543	11.321	11.7655	12.54	12.9713
YNL107W	20.6343	22.6854	22.217	22.9964	21.6238	21.69	20.9054	22.5965	20.9203	18.8453	20.5512	20.6546
YNL108C	30.4648	35.2802	32.0455	30.5765	29.1419	30.199	28.999	29.9303	28.7882	28.374	28.5254	26.1497
YNL109W	0.695967	0.702062	0.699471	0.686139	0.840611	1.03833	1.16394	0.998739	0.871906	0.564536	0.643482	0.620725
YNL110C	73.0822	85.765	85.3051	81.8333	79.8032	78.1557	75.15	71.2578	74.1215	77.0838	80.6591	70.2688
YNL111C	362.634	423.295	497.124	532.919	360.256	404.309	469.637	520.867	313.926	408.218	465.44	500.345
YNL112W	77.7732	73.3346	90.41	78.7245	92.0238	112.593	88.2075	83.9393	109.294	92.1715	78.4328	78.1921
YNL113W	86.2695	94.3271	100.871	89.1552	97.4373	98.4453	88.5831	91.3846	96.8208	85.9036	87.3527	79.6825
