Gene	ZOIBetaEstimate	ZOIBetaError	ZOIBetaLower95	ZOIBetaUpper95	ZOIBetaTrend	ZINegEstimate	ZINegError	ZINegLower95	ZINegUpper95	ZINegTrend
YJR005W	5.77892323856793	1.73804575294384	2.63845014410126	10.5323955645211	positive	1.73662012876133	0.380630562333755	0.961230488031745	2.56767140958588	positive
YJR006W	5.20985858271405	1.30502879659922	2.33949892955913	8.20150100377542	positive	1.48340829207432	0.392048396243127	0.510272307810906	2.2808334316209	positive
YJR007W	4.87026896108999	1.18200337675156	2.07953191636469	7.18648676876764	positive	1.20989038816176	0.406525731021791	0.291340155289443	2.12909017518142	positive
YJR008W	5.62260460439125	1.19240989804275	3.15035839552424	8.10496326806495	positive	1.79762580048289	0.419894744102758	0.90503090127081	2.73321964258543	positive
YJR009C	5.44987536637351	1.27855208799688	2.72704510046444	7.91864007252267	positive	1.69671707957336	0.409757396484084	0.79783390655532	2.51615977979261	positive
YJR010C-A	4.30789145591995	1.62380769718388	0.734664624430109	7.75506014515147	positive	0.972848703361759	0.475082103562714	0.0883334163407677	2.16748027499049	positive
YJR010W	4.87614121491098	1.29025120255895	2.10413093904119	7.61311150877869	positive	1.22314037627565	0.391104145365854	0.293232547021753	2.17757759068626	positive
YJR011C	4.92564295303267	1.22534828050385	2.23748999294984	7.56593272375731	positive	1.33953981730563	0.42706737092403	0.50376603403902	2.28110005147817	positive
YJR014W	5.18373315384108	1.29487764530285	2.46149874688384	7.92448528726708	positive	1.4621160947521	0.437089678999017	0.625406846997465	2.65816604339239	positive
YJR015W	4.91283233039153	1.47330919753853	0.475729480030847	7.47556599812208	positive	1.41486768255333	0.343853785286025	0.627485962108836	2.12577583567061	positive
YJR016C	4.81513573287686	1.23917621043972	2.18466499543626	7.49156316213205	positive	1.20355817910004	0.246608715391886	0.591301734390291	1.70892064810018	positive
YJR021C	5.06553294783887	1.34747117411112	2.20242103192128	7.8359301620814	positive	1.49251228448457	0.353997473624073	0.649358272644101	2.22446282044093	positive
YJR024C	4.74610587953798	1.41704436562048	1.73777652288709	7.73558584554689	positive	1.19741421123272	0.343724230083851	0.458351232983925	1.91391483065165	positive
YJR025C	5.04200463553888	1.26169856522504	2.38349703250894	7.76607803973814	positive	1.38115762294202	0.391447652258221	0.672976846014079	2.4339305170634	positive
YJR030C	5.70252118606143	1.33264141411698	3.13537218832562	9.44944311721721	positive	1.49259004351878	0.486611984276933	0.473880918109981	2.5973052870589	positive
YJR031C	5.14120465083325	1.34803058237395	2.40144994765073	8.18620360768484	positive	1.40649612426147	0.455147229402036	0.515048385658812	2.28968339559422	positive
YJR032W	4.947645376989	1.2029221962905	2.21309570103748	7.31321375557441	positive	1.34013036491401	0.403246757294487	0.49241444336049	2.25698609054779	positive
YJR033C	5.1869424971532	1.40971989749204	2.19877252585826	8.0907526976993	positive	1.56600039490286	0.420776917555691	0.690308262299099	2.73491674742637	positive
YJR034W	4.30255084968295	1.96364201933872	0.621705932324244	9.13233941375388	positive	1.01010215980389	0.674058255938488	-0.4616191741215	2.78685848411446	zero
