gene,assay,estimate,est_error,lower_95,upper_95,eff_sample,rhat,seed,run_limit_stop,is_pos,is_neg,category,attempts
YBR282W,writer_add,1.06234818993345,0.34859159463273,0.259831295705757,1.83044167754111,496.8295431959,1.00217753783193,123,FALSE,TRUE,FALSE,positive,1
YBR283C,writer_loss,-0.52171073729657,0.165276867191044,-0.995663498030868,-0.220453747883172,147.096027038068,1.02255403512749,124,FALSE,FALSE,TRUE,negative,2
YBR283C,writer_eraser_loss,-0.382687561074449,0.2254686985694,-0.815381873555512,0.207888261004537,591.366562794638,1.00707643111917,124,FALSE,FALSE,FALSE,zero,2
YBR283C,writer_add,1.25125756857442,0.349976970792377,0.44045372887635,1.92528014266682,257.559055837716,1.0072733234018,124,FALSE,TRUE,FALSE,positive,2
YBR284W,writer_loss,-0.415052203933146,0.462768621038191,-1.13730808885533,0.942320105722322,37.6917624833924,1.07919333417272,124,FALSE,FALSE,FALSE,zero,2
YBR284W,writer_eraser_loss,-0.50223662090127,0.484908828095437,-1.96283760206851,0.277661184117301,92.4865511591701,1.06545941114509,124,FALSE,FALSE,FALSE,zero,2
YBR284W,writer_add,1.26906754233791,0.462177066701764,0.133954009624482,2.53528000524878,130.903833295136,1.00300907470401,124,FALSE,TRUE,FALSE,positive,2
YBR285W,writer_loss,-0.38484772781624,0.362993374083001,-1.06429379304577,0.604526593599865,82.9165633767114,1.06050315261985,128,FALSE,FALSE,FALSE,zero,6
YBR285W,writer_eraser_loss,-0.406602000072214,0.41019346926016,-1.27250531154857,0.326324550992179,111.561018137077,1.03633995640221,128,FALSE,FALSE,FALSE,zero,6
YBR285W,writer_add,0.907396430406978,0.472317733179782,-0.0792340590565153,1.96705544997993,419.461072291026,1.00548031417225,128,FALSE,FALSE,FALSE,zero,6
YBR286W,writer_loss,-0.642018841251339,0.192989862857669,-1.04284121321572,-0.158739770332539,246.580443441181,1.02126120954594,126,FALSE,FALSE,TRUE,negative,4
YBR286W,writer_eraser_loss,-0.422181576697636,0.244921966522937,-0.968084831069291,0.0751010769117664,896.45149888823,1.00600997999087,126,FALSE,FALSE,FALSE,zero,4
YBR286W,writer_add,1.57647345870178,0.505800029395617,0.451159776381437,2.92911979006026,224.018785396096,1.01201649223889,126,FALSE,TRUE,FALSE,positive,4
YBR287W,writer_loss,-0.624859805870543,0.174806073078629,-0.980823573221761,-0.198176180102876,1320.67950767552,1.0019682285377,124,FALSE,FALSE,TRUE,negative,2
YBR287W,writer_eraser_loss,-0.424458622762612,0.266148085144074,-1.2718637372488,0.0775049813777639,99.721965751029,1.04333697778098,124,FALSE,FALSE,FALSE,zero,2
YBR287W,writer_add,1.71701837662936,0.474483399537014,0.803215143239702,2.75152736525914,460.362560033078,1.00619987264262,124,FALSE,TRUE,FALSE,positive,2
YBR288C,writer_loss,-0.595259233930278,0.252765495185884,-1.03057546836709,0.327024401476292,65.7222112574257,1.0641225925939,126,FALSE,FALSE,FALSE,zero,4
YBR288C,writer_eraser_loss,-0.438158178108561,0.275020305850465,-0.970897594355068,0.103186817695738,1617.67510329876,1.00050707918484,126,FALSE,FALSE,FALSE,zero,4
YBR288C,writer_add,1.40356383037786,0.417705756071931,0.293787995620482,2.23537879342219,283.781877181314,1.01315895995483,126,FALSE,TRUE,FALSE,positive,4
YBR289W,writer_loss,-0.44489136984339,0.167633793467658,-0.774663323867166,-0.063946216951419,964.653689901846,1.00266873459994,125,FALSE,FALSE,TRUE,negative,3
YBR289W,writer_eraser_loss,-0.395542984891336,0.293598364843893,-1.04353135261627,0.314800078519527,85.190790147301,1.05610142910778,125,FALSE,FALSE,FALSE,zero,3
YBR289W,writer_add,1.22579708539323,0.304758593780299,0.549547554198456,1.89473150113988,2364.56292456531,1.00202664894289,125,FALSE,TRUE,FALSE,positive,3
YBR290W,writer_loss,-0.549034242453972,0.1593189381995,-0.869055328153949,-0.152070216982087,1087.6147801297,1.00060833121325,128,FALSE,FALSE,TRUE,negative,6
YBR290W,writer_eraser_loss,-0.412252265314936,0.287663576837432,-0.974688953789705,0.328138638898765,530.118159053368,1.01035985879421,128,FALSE,FALSE,FALSE,zero,6
YBR290W,writer_add,1.42905102401431,0.440798160033695,0.370499608257481,2.31417656266427,159.202349681401,1.01685988621343,128,FALSE,TRUE,FALSE,positive,6
YBR291C,writer_loss,-0.615923720686112,0.344467753802332,-1.41783305467338,0.11097430580346,627.132315506453,1.00738014060424,123,FALSE,FALSE,FALSE,zero,1
YBR291C,writer_eraser_loss,-0.477800581486089,0.363242377302965,-1.26408943758334,0.25628234411516,268.641389357998,1.01863294438007,123,FALSE,FALSE,FALSE,zero,1
