Gene	rph1d_RNA_Rep1	rph1d_RNA_Rep2	rph1d_RNA_Rep3
YPL200W	2.83396	1.96367	2.86781
YPL199C	56.3659	58.1707	60.4978
YPL198W	75.6866	76.8419	80.455
YPL197C	104.221	106.562	99.9996
YPL196W	11.2725	11.7289	10.4627
YPL195W	25.1327	26.9682	26.4752
YPL194W	6.01441	5.46062	5.40555
YPL193W	19.0776	19.6827	18.158
YPL192C	17.8188	18.0453	14.2172
YPL191C	6.53782	6.09822	6.36145
YPL190C	37.5153	37.8921	35.0381
YPL189C-A	101.292	151.845	137.983
YPL189W	1.53869	2.02205	1.39264
YPL188W	17.1813	19.1852	16.5928
YPL187W	0.168444	0.291791	0.21307
YPL186C	2.14122	0.92729	1.75255
YPL185W	2.28259	3.95406	5.41372
YPL184C	29.9138	31.073	30.9484
YPL183W-A	166.686	182.872	178.516
YPL183C	34.0887	33.9217	32.4443
YPL182C	13.9809	8.61107	14.7374
YPL181W	16.355	16.8502	17.1635
YPL180W	8.71611	8.90044	9.50837
YPL179W	30.0274	29.7158	28.0799
YPL178W	70.1263	73.2326	68.7743
YPL177C	47.3103	53.3567	44.0542
YPL176C	16.0351	17.2225	15.7297
YPL175W	11.487	12.8621	11.8058
YPL174C	5.24728	6.03925	6.24369
YPL173W	19.5732	20.3887	20.2759
YPL172C	11.479	13.3521	11.9838
YPL171C	1.14309	1.33279	1.22348
YPL170W	30.3585	31.3112	40.2961
YPL169C	28.3403	30.0039	27.9126
YPL168W	6.30746	6.99418	6.8859
YPL167C	3.96223	4.53887	4.04811
YPL166W	4.80259	4.15969	3.91496
YPL165C	4.75638	5.61773	5.19606
YPL164C	4.88116	5.14598	4.56788
YPL163C	84.0423	93.5411	77.7933
YPL162C	22.7647	23.2042	20.4162
YPL161C	5.91206	7.1645	6.57965
YPL160W	193.083	201.077	194.358
YPL159C	25.9995	27.6886	25.2345
YPL158C	14.7047	17.0892	17.0046
YPL157W	21.1813	21.9839	19.81
YPL156C	13.4964	14.4473	12.4319
YPL155C	7.6626	7.52951	7.60957
YPL154C	259.144	268.767	249.422
YPL153C	6.71612	6.63637	6.98778
YPL152W-A	0	0	5.9336
YPL152W	10.9416	11.9777	12.4627
YPL151C	11.9728	13.9799	13.1079
YPL150W	8.22806	7.88067	7.52523
YPL149W	18.2675	18.2782	16.225
YPL148C	12.9054	13.5731	12.7292
YPL147W	1.22421	1.24474	1.29045
YPL146C	39.7687	42.6261	40.6561
YPL145C	110.219	113.25	104.376
YPL144W	39.6125	33.9428	31.8863
YPL143W	3299.9	3247.95	3223.12
YPL142C	4075.86	3979.92	3893.2
YPL141C	15.445	15.1869	14.0146
YPL140C	7.38612	8.25376	7.82053
YPL139C	8.4699	8.87376	7.83653
